window,accuracy
12700:12800,0.40869565217391307
15400:15500,0.408695652173913
28400:28500,0.4043478260869565
37500:37600,0.4043478260869565
800:900,0.40434782608695646
8900:9000,0.40434782608695646
8500:8600,0.39999999999999997
24800:24900,0.39999999999999997
33100:33200,0.39999999999999997
22000:22100,0.39565217391304336
38200:38300,0.391304347826087
500:600,0.3913043478260869
4700:4800,0.3869565217391305
6700:6800,0.38695652173913037
26300:26400,0.3739130434782608
24100:24200,0.3652173913043478
41000:41100,0.3521739130434782
